223.165.4.57:443#地区随机 | 台湾 TW | HKG | 223.165.4.57:443_1 [219ms 0Mbps]
195.245.229.66:8443#地区随机 | 日本 JP | KIX | 195.245.229.66:8443_1 [125ms 0Mbps]
64.176.35.237:443#地区随机 | 日本 JP | KIX | 64.176.35.237:443_1 [优选高速] [125ms 6Mbps]
64.176.38.23:2083#地区随机 | 日本 JP | KIX | 64.176.38.23:2083_1 [优选高速] [109ms 7Mbps]
64.176.42.143:443#地区随机 | 日本 JP | KIX | 64.176.42.143:443_1 [125ms 3Mbps]
64.176.44.23:443#地区随机 | 日本 JP | KIX | 64.176.44.23:443_1 [109ms 3Mbps]
66.245.218.44:443#地区随机 | 日本 JP | KIX | 66.245.218.44:443_1 [优选高速] [109ms 6Mbps]
103.75.118.144:2053#地区随机 | 日本 JP | NRT | 103.75.118.144:2053_1 [优选高速] [110ms 6Mbps]
104.238.151.159:443#地区随机 | 日本 JP | NRT | 104.238.151.159:443_1 [优选高速] [94ms 6Mbps]
108.160.131.197:443#地区随机 | 日本 JP | NRT | 108.160.131.197:443_1 [94ms 3Mbps]
108.160.132.132:443#地区随机 | 日本 JP | NRT | 108.160.132.132:443_1 [优选高速] [94ms 6Mbps]
108.160.135.252:443#地区随机 | 日本 JP | NRT | 108.160.135.252:443_1 [优选高速] [94ms 5Mbps]
115.163.106.137:443#地区随机 | 日本 JP | NRT | 115.163.106.137:443_1 [94ms 0Mbps]
125.192.207.63:443#地区随机 | 日本 JP | NRT | 125.192.207.63:443_1 [125ms 1Mbps]
132.145.127.203:8443#地区随机 | 日本 JP | NRT | 132.145.127.203:8443_1 [203ms 0Mbps]
138.3.212.160:8443#地区随机 | 日本 JP | NRT | 138.3.212.160:8443_1 [203ms 2Mbps]
138.3.214.171:443#地区随机 | 日本 JP | NRT | 138.3.214.171:443_1 [优选高速] [203ms 5Mbps]
138.3.220.224:443#地区随机 | 日本 JP | NRT | 138.3.220.224:443_1 [203ms 3Mbps]
140.235.37.198:443#地区随机 | 日本 JP | NRT | 140.235.37.198:443_1 [优选高速] [110ms 8Mbps]
140.238.50.134:443#地区随机 | 日本 JP | NRT | 140.238.50.134:443_1 [188ms 0Mbps]
140.238.58.181:2053#地区随机 | 日本 JP | NRT | 140.238.58.181:2053_1 [188ms 2Mbps]
141.11.139.221:443#地区随机 | 日本 JP | NRT | 141.11.139.221:443_1 [优选高速] [125ms 7Mbps]
141.147.174.243:443#地区随机 | 日本 JP | NRT | 141.147.174.243:443_1 [203ms 0Mbps]
141.147.185.63:443#地区随机 | 日本 JP | NRT | 141.147.185.63:443_1 [1203ms 0Mbps]
142.91.108.54:443#地区随机 | 日本 JP | NRT | 142.91.108.54:443_1 [优选高速] [110ms 6Mbps]
147.79.20.149:8443#地区随机 | 日本 JP | NRT | 147.79.20.149:8443_1 [688ms 0Mbps]
150.230.107.25:8443#地区随机 | 日本 JP | NRT | 150.230.107.25:8443_1 [203ms 2Mbps]
150.230.212.247:443#地区随机 | 日本 JP | NRT | 150.230.212.247:443_1 [188ms 1Mbps]
151.241.129.141:443#地区随机 | 日本 JP | NRT | 151.241.129.141:443_1 [110ms 3Mbps]
152.70.105.42:8443#地区随机 | 日本 JP | NRT | 152.70.105.42:8443_1 [203ms 1Mbps]
153.121.32.71:443#地区随机 | 日本 JP | NRT | 153.121.32.71:443_1 [110ms 1Mbps]
154.19.187.39:443#地区随机 | 日本 JP | NRT | 154.19.187.39:443_1 [125ms 2Mbps]
154.31.113.22:443#地区随机 | 日本 JP | NRT | 154.31.113.22:443_1 [125ms 2Mbps]
154.31.113.248:443#地区随机 | 日本 JP | NRT | 154.31.113.248:443_1 [141ms 4Mbps]
154.36.176.47:8443#地区随机 | 日本 JP | NRT | 154.36.176.47:8443_1 [157ms 3Mbps]
154.36.187.205:8443#地区随机 | 日本 JP | NRT | 154.36.187.205:8443_1 [125ms 2Mbps]
154.83.92.214:443#地区随机 | 日本 JP | NRT | 154.83.92.214:443_1 [110ms 0Mbps]
154.83.93.93:443#地区随机 | 日本 JP | NRT | 154.83.93.93:443_1 [375ms 0Mbps]
156.231.113.204:443#地区随机 | 日本 JP | NRT | 156.231.113.204:443_1 [157ms 0Mbps]
156.231.140.216:443#地区随机 | 日本 JP | NRT | 156.231.140.216:443_1 [188ms 1Mbps]
156.246.88.237:443#地区随机 | 日本 JP | NRT | 156.246.88.237:443_1 [优选高速] [141ms 5Mbps]
156.246.93.48:2053#地区随机 | 日本 JP | NRT | 156.246.93.48:2053_1 [141ms 3Mbps]
156.246.95.55:443#地区随机 | 日本 JP | NRT | 156.246.95.55:443_1 [125ms 2Mbps]
158.51.110.12:443#地区随机 | 日本 JP | NRT | 158.51.110.12:443_1 [110ms 0Mbps]
158.51.110.61:8443#地区随机 | 日本 JP | NRT | 158.51.110.61:8443_1 [110ms 2Mbps]
160.16.116.222:8443#地区随机 | 日本 JP | NRT | 160.16.116.222:8443_1 [110ms 1Mbps]
160.16.59.9:443#地区随机 | 日本 JP | NRT | 160.16.59.9:443_1 [110ms 0Mbps]
161.248.254.27:443#地区随机 | 日本 JP | NRT | 161.248.254.27:443_1 [1157ms 1Mbps]
161.248.62.42:443#地区随机 | 日本 JP | NRT | 161.248.62.42:443_1 [141ms 0Mbps]
161.248.63.77:443#地区随机 | 日本 JP | NRT | 161.248.63.77:443_1 [141ms 3Mbps]
161.33.190.243:443#地区随机 | 日本 JP | NRT | 161.33.190.243:443_1 [1219ms 0Mbps]
161.33.197.118:443#地区随机 | 日本 JP | NRT | 161.33.197.118:443_1 [203ms 1Mbps]
167.179.110.68:8443#地区随机 | 日本 JP | NRT | 167.179.110.68:8443_1 [优选高速] [141ms 6Mbps]
167.179.76.8:443#地区随机 | 日本 JP | NRT | 167.179.76.8:443_1 [优选高速] [125ms 6Mbps]
172.237.5.208:2053#地区随机 | 日本 JP | NRT | 172.237.5.208:2053_1 [141ms 0Mbps]
172.238.22.36:8443#地区随机 | 日本 JP | NRT | 172.238.22.36:8443_1 [优选高速] [141ms 6Mbps]
176.97.70.51:8443#地区随机 | 日本 JP | NRT | 176.97.70.51:8443_1 [157ms 1Mbps]
18.179.140.180:443#地区随机 | 日本 JP | NRT | 18.179.140.180:443_1 [优选高速] [157ms 6Mbps]
18.182.54.28:443#地区随机 | 日本 JP | NRT | 18.182.54.28:443_1 [172ms 1Mbps]
185.200.64.238:2053#地区随机 | 日本 JP | NRT | 185.200.64.238:2053_1 [157ms 2Mbps]
195.245.242.240:443#地区随机 | 日本 JP | NRT | 195.245.242.240:443_1 [156ms 1Mbps]
198.13.32.234:443#地区随机 | 日本 JP | NRT | 198.13.32.234:443_1 [优选高速] [125ms 7Mbps]
198.13.33.61:443#地区随机 | 日本 JP | NRT | 198.13.33.61:443_1 [125ms 0Mbps]
198.13.60.163:443#地区随机 | 日本 JP | NRT | 198.13.60.163:443_1 [优选高速] [141ms 5Mbps]
202.182.118.182:443#地区随机 | 日本 JP | NRT | 202.182.118.182:443_1 [125ms 2Mbps]
202.182.99.122:443#地区随机 | 日本 JP | NRT | 202.182.99.122:443_1 [125ms 3Mbps]
207.148.112.179:443#地区随机 | 日本 JP | NRT | 207.148.112.179:443_1 [125ms 1Mbps]
209.33.173.167:443#地区随机 | 日本 JP | NRT | 209.33.173.167:443_1 [141ms 3Mbps]
23.249.17.25:443#地区随机 | 日本 JP | NRT | 23.249.17.25:443_1 [141ms 0Mbps]
38.207.130.136:443#地区随机 | 日本 JP | NRT | 38.207.130.136:443_1 [844ms 0Mbps]
43.153.155.143:8443#地区随机 | 日本 JP | NRT | 43.153.155.143:8443_1 [125ms 2Mbps]
43.165.175.34:443#地区随机 | 日本 JP | NRT | 43.165.175.34:443_1 [125ms 2Mbps]
45.129.8.3:443#地区随机 | 日本 JP | NRT | 45.129.8.3:443_1 [141ms 1Mbps]
45.142.127.194:443#地区随机 | 日本 JP | NRT | 45.142.127.194:443_1 [优选高速] [141ms 6Mbps]
45.143.233.181:2053#地区随机 | 日本 JP | NRT | 45.143.233.181:2053_1 [125ms 2Mbps]
45.192.249.171:8443#地区随机 | 日本 JP | NRT | 45.192.249.171:8443_1 [125ms 3Mbps]
45.196.233.37:443#地区随机 | 日本 JP | NRT | 45.196.233.37:443_1 [125ms 1Mbps]
45.32.17.67:443#地区随机 | 日本 JP | NRT | 45.32.17.67:443_1 [125ms 2Mbps]
45.76.102.47:443#地区随机 | 日本 JP | NRT | 45.76.102.47:443_1 [优选高速] [125ms 6Mbps]
45.76.194.232:443#地区随机 | 日本 JP | NRT | 45.76.194.232:443_1 [125ms 0Mbps]
45.76.198.248:443#地区随机 | 日本 JP | NRT | 45.76.198.248:443_1 [141ms 1Mbps]
45.76.208.123:8443#地区随机 | 日本 JP | NRT | 45.76.208.123:8443_1 [141ms 4Mbps]
45.76.208.253:443#地区随机 | 日本 JP | NRT | 45.76.208.253:443_1 [优选高速] [125ms 5Mbps]
45.76.98.65:443#地区随机 | 日本 JP | NRT | 45.76.98.65:443_1 [优选高速] [141ms 5Mbps]
45.77.21.148:443#地区随机 | 日本 JP | NRT | 45.77.21.148:443_1 [125ms 4Mbps]
45.89.232.111:8443#地区随机 | 日本 JP | NRT | 45.89.232.111:8443_1 [125ms 1Mbps]
45.95.212.117:443#地区随机 | 日本 JP | NRT | 45.95.212.117:443_1 [469ms 0Mbps]
47.245.62.4:8443#地区随机 | 日本 JP | NRT | 47.245.62.4:8443_1 [125ms 0Mbps]
47.79.37.210:443#地区随机 | 日本 JP | NRT | 47.79.37.210:443_1 [125ms 0Mbps]
47.79.39.45:443#地区随机 | 日本 JP | NRT | 47.79.39.45:443_1 [125ms 1Mbps]
5.104.83.202:443#地区随机 | 日本 JP | NRT | 5.104.83.202:443_1 [172ms 0Mbps]
5.104.86.1:443#地区随机 | 日本 JP | NRT | 5.104.86.1:443_1 [141ms 3Mbps]
52.194.99.211:443#地区随机 | 日本 JP | NRT | 52.194.99.211:443_1 [125ms 1Mbps]
54.199.97.220:443#地区随机 | 日本 JP | NRT | 54.199.97.220:443_1 [141ms 3Mbps]
54.65.58.58:443#地区随机 | 日本 JP | NRT | 54.65.58.58:443_1 [优选高速] [125ms 7Mbps]
57.182.89.177:443#地区随机 | 日本 JP | NRT | 57.182.89.177:443_1 [优选高速] [125ms 6Mbps]
8.219.195.31:443#地区随机 | 日本 JP | NRT | 8.219.195.31:443_1 [优选高速] [109ms 4Mbps]
8.222.185.236:443#地区随机 | 日本 JP | NRT | 8.222.185.236:443_1 [109ms 2Mbps]
8.222.193.153:443#地区随机 | 日本 JP | NRT | 8.222.193.153:443_1 [优选高速] [109ms 8Mbps]
80.96.156.58:443#地区随机 | 日本 JP | NRT | 80.96.156.58:443_1 [109ms 1Mbps]
84.247.152.29:8443#地区随机 | 日本 JP | NRT | 84.247.152.29:8443_1 [109ms 2Mbps]
84.247.153.71:443#地区随机 | 日本 JP | NRT | 84.247.153.71:443_1 [109ms 0Mbps]
85.121.50.16:443#地区随机 | 日本 JP | NRT | 85.121.50.16:443_1 [125ms 2Mbps]
89.125.244.207:443#地区随机 | 日本 JP | NRT | 89.125.244.207:443_1 [156ms 0Mbps]
91.200.243.32:443#地区随机 | 日本 JP | NRT | 91.200.243.32:443_1 [109ms 0Mbps]
92.113.124.215:2096#地区随机 | 日本 JP | NRT | 92.113.124.215:2096_1 [125ms 3Mbps]
119.205.235.58:443#地区随机 | 韩国 KR | ICN | 119.205.235.58:443_1 [407ms 0Mbps]
119.28.162.39:8443#地区随机 | 韩国 KR | ICN | 119.28.162.39:8443_1 [110ms 3Mbps]
132.145.91.181:8443#地区随机 | 韩国 KR | ICN | 132.145.91.181:8443_1 [优选高速] [94ms 6Mbps]
141.164.42.2:443#地区随机 | 韩国 KR | ICN | 141.164.42.2:443_1 [141ms 4Mbps]
141.164.51.88:443#地区随机 | 韩国 KR | ICN | 141.164.51.88:443_1 [110ms 3Mbps]
144.24.68.111:443#地区随机 | 韩国 KR | ICN | 144.24.68.111:443_1 [125ms 0Mbps]
146.56.188.74:443#地区随机 | 韩国 KR | ICN | 146.56.188.74:443_1 [94ms 3Mbps]
15.164.84.61:443#地区随机 | 韩国 KR | ICN | 15.164.84.61:443_1 [优选高速] [110ms 6Mbps]
152.70.254.197:443#地区随机 | 韩国 KR | ICN | 152.70.254.197:443_1 [优选高速] [94ms 5Mbps]
158.180.71.69:443#地区随机 | 韩国 KR | ICN | 158.180.71.69:443_1 [优选高速] [141ms 5Mbps]
158.247.198.196:443#地区随机 | 韩国 KR | ICN | 158.247.198.196:443_1 [优选高速] [110ms 7Mbps]
158.247.199.106:443#地区随机 | 韩国 KR | ICN | 158.247.199.106:443_1 [优选高速] [125ms 6Mbps]
158.247.209.57:443#地区随机 | 韩国 KR | ICN | 158.247.209.57:443_1 [141ms 2Mbps]
158.247.255.3:8443#地区随机 | 韩国 KR | ICN | 158.247.255.3:8443_1 [141ms 0Mbps]
161.118.151.101:443#地区随机 | 韩国 KR | ICN | 161.118.151.101:443_1 [110ms 1Mbps]
161.118.158.9:443#地区随机 | 韩国 KR | ICN | 161.118.158.9:443_1 [优选高速] [110ms 5Mbps]
193.123.233.175:443#地区随机 | 韩国 KR | ICN | 193.123.233.175:443_1 [优选高速] [94ms 6Mbps]
211.49.57.179:443#地区随机 | 韩国 KR | ICN | 211.49.57.179:443_1 [141ms 3Mbps]
85.155.176.11:8443#地区随机 | 韩国 KR | NRT | 85.155.176.11:8443_1 [125ms 2Mbps]
